OrderID,OrderDate,CustomerID,CustomerName,Region,City,Category,SubCategory,Sales,Quantity,Discount,Profit,PaymentMode,ReturnFlag,Rating
20001,01-06-2024,CUST2000,Charlotte Adams,East,Kolkata,Beverages,Juice,1658,19,0.13,357.65,Wallet,No,5
20002,01-06-2024,CUST2001,Michael Lee,South,Hyderabad,Beverages,Soft Drink,1670,3,0.17,77.42,Cash,Yes,1
20003,01-06-2024,CUST2002,Mason Lewis,East,Bhubaneswar,Fruits,Bananas,1115,16,0.12,125.25,UPI,Yes,3
20004,01-06-2024,CUST2003,David Kim,West,Mumbai,Snacks,Chocolate,613,19,0.04,61.55,Card,Yes,4
20005,01-06-2024,CUST2004,John Smith,West,Ahmedabad,Fruits,Bananas,400,17,0.17,-17.42,Cash,No,5
20006,01-06-2024,CUST2005,Emma Davis,West,Pune,Vegetables,Tomatoes,654,11,0.07,1.94,Wallet,No,5
20007,01-06-2024,CUST2006,Noah Young,West,Ahmedabad,Beverages,Water,880,5,0.05,131.44,UPI,Yes,5
20008,01-06-2024,CUST2007,Michael Lee,South,Bengaluru,Bakery,Cookies,1762,9,0.2,155.82,Card,Yes,2
20009,01-06-2024,CUST2008,Liam Harris,East,Patna,Bakery,Cake,1447,14,0.15,227.44,Cash,No,4
20010,01-06-2024,CUST2009,Benjamin Evans,West,Mumbai,Dairy,Cheese,583,14,0.18,18.69,UPI,No,3
20011,01-06-2024,CUST2010,Charlotte Adams,North,Delhi,Dairy,Milk,41,9,0.12,-0.39,Cash,No,5
20012,01-06-2024,CUST2011,Daniel Wilson,East,Kolkata,Snacks,Chips,663,18,0.13,9.33,UPI,No,1
20013,01-06-2024,CUST2012,David Kim,North,Chandigarh,Snacks,Chocolate,1119,16,0.14,8.2,Cash,Yes,3
20014,01-06-2024,CUST2013,Isabella Taylor,East,Kolkata,Fruits,Oranges,1574,19,0.11,386.97,UPI,No,5
20015,01-06-2024,CUST2014,Mia Walker,North,Chandigarh,Dairy,Yogurt,146,18,0.14,12.87,UPI,Yes,5
20016,01-06-2024,CUST2015,Emma Davis,North,Lucknow,Dairy,Milk,1512,4,0.07,-72.35,Cash,Yes,5
20017,01-06-2024,CUST2016,Ava Clark,East,Patna,Fruits,Apples,966,19,0,194.61,Cash,Yes,5
20018,01-06-2024,CUST2017,Mia Walker,East,Bhubaneswar,Bakery,Donuts,101,2,0.13,-0.3,UPI,Yes,4
20019,01-06-2024,CUST2018,Michael Lee,South,Chennai,Fruits,Apples,201,14,0.12,22.02,Card,Yes,4
20020,01-06-2024,CUST2019,Alice Brown,East,Bhubaneswar,Snacks,Chocolate,1424,7,0,102.26,Cash,No,5
20021,01-06-2024,CUST2020,Emma Davis,East,Bhubaneswar,Bakery,Bread,1196,6,0.15,-38.99,Cash,No,4
20022,01-06-2024,CUST2021,Alice Brown,East,Patna,Bakery,Donuts,884,10,0.14,16.52,Cash,No,5
20023,01-06-2024,CUST2022,Daniel Wilson,South,Chennai,Snacks,Biscuits,1788,17,0.14,285.17,Wallet,Yes,5
20024,01-06-2024,CUST2023,Liam Harris,East,Bhubaneswar,Fruits,Mangoes,1214,17,0.04,217.58,Wallet,No,5
20025,02-06-2024,CUST2024,Lucas Green,West,Pune,Bakery,Cake,1514,14,0.05,167.36,Cash,No,4
20026,02-06-2024,CUST2025,Benjamin Evans,West,Mumbai,Snacks,Chocolate,968,12,0.1,221.13,Card,No,3
20027,02-06-2024,CUST2026,Isabella Taylor,South,Bengaluru,Dairy,Butter,1479,10,0.17,133.45,Wallet,No,5
20028,02-06-2024,CUST2027,Benjamin Evans,North,Chandigarh,Bakery,Cake,770,7,0.14,80.04,Card,Yes,4
20029,02-06-2024,CUST2028,David Kim,South,Bengaluru,Beverages,Coffee,1888,11,0.13,448.26,Card,Yes,4
20030,02-06-2024,CUST2029,Isabella Taylor,South,Bengaluru,Fruits,Grapes,1741,4,0.16,294.4,Wallet,No,5
20031,02-06-2024,CUST2030,Ethan Hall,North,Lucknow,Bakery,Bread,1696,5,0.09,371.39,Wallet,Yes,4
20032,02-06-2024,CUST2031,Olivia Martinez,East,Kolkata,Fruits,Apples,1376,12,0.1,159.66,Card,No,5
20033,02-06-2024,CUST2032,Sophia Johnson,West,Mumbai,Fruits,Bananas,1612,8,0.09,228.94,Wallet,Yes,5
20034,02-06-2024,CUST2033,Sophia Johnson,West,Pune,Bakery,Bread,1575,18,0.06,-36.65,Card,Yes,2
20035,02-06-2024,CUST2034,Amelia Scott,East,Bhubaneswar,Snacks,Chips,914,4,0.17,32.76,Cash,No,1
